I need the update query to sort properly the top  : see sample data for from the ==> rbd -->


sh-5.1$ rbd du -p "$POOL"                                                        
warning: fast-diff map is not enabled for csi-snap-25ae561d-8e68-488c-b5ad-1158f69daae2. operation may be slow.

NAME                                                                                         PROVISIONED  USED    
csi-vol-126201ad-da47-48d2-81a0-cd8d065e2805                                                      10 GiB   7.7 GiB
csi-vol-13354630-4985-4bad-ba6e-fff5ab3f004b                                                       1 GiB    28 MiB
csi-vol-1344cd72-f406-11ed-87ee-0a58af011c1e                                                       8 GiB   2.3 GiB
csi-vol-135b1b5c-fc08-11ed-b1d1-0a58af0023ce                                                       8 GiB   592 MiB
csi-vol-1501c899-1913-4ee3-87c1-d0ac54cbcf71                                                       5 GiB    48 MiB
csi-vol-15199820-3477-4860-91e6-fee21cd9dc32                                                      50 GiB   9.1 GiB
csi-vol-152506ac-fa67-11ed-b962-0a58af011a8d                                                      10 GiB   4.6 GiB
csi-vol-154945e3-db0a-48c6-8c0d-3d33709bacb0                                                      10 GiB   132 MiB
csi-vol-158cf8b8-ccc3-4724-a852-d8e71bf5248b                                                       1 GiB    28 MiB
csi-vol-1663475d-6822-4d54-bda4-e6b0a2df19fa                                                       1 GiB    64 MiB
csi-vol-16c4e671-de19-11ed-bdf3-0a58af021a26                                                       1 GiB   160 MiB
csi-vol-16d4a6e6-a24b-4307-aa0f-d95754061de2                                                      10 GiB   372 MiB
csi-vol-16e5979e-f67e-11ed-b962-0a58af011a8d                                                       1 GiB    36 MiB
csi-vol-16e8334c-f67e-11ed-b962-0a58af011a8d                                                       1 GiB    64 MiB
csi-vol-16e8373c-f67e-11ed-b962-0a58af011a8d                                                       3 GiB    36 MiB
csi-vol-16eac475-f67e-11ed-b962-0a58af011a8d                                                      50 GiB  1020 MiB
csi-vol-16ed36ea-f67e-11ed-b962-0a58af011a8d                                                      50 GiB   1.1 GiB
csi-vol-16fac292-f67e-11ed-b962-0a58af011a8d                                                       3 GiB    36 MiB
csi-vol-17565f2d-f67e-11ed-b962-0a58af011a8d                                                      50 GiB  1004 MiB
csi-vol-17abd708-3cdd-4d56-b5c0-461ba989035e                                                      10 GiB   3.0 GiB
csi-vol-17d1cd19-f67e-11ed-b962-0a58af011a8d                                                       3 GiB    36 MiB
csi-vol-1882775c-7345-47bb-9fc6-381ad929f249                                                      10 GiB   360 MiB
csi-vol-1936ed02-a7f8-4b99-8a79-1f1fc31857fe                                                       1 GiB    28 MiB
csi-vol-1940f5d4-faf8-4ead-aa4a-fdf10d4ee27f                                                       5 GiB   236 MiB
csi-vol-195b234e-590c-443b-9817-20d30cdbadd6                                                       1 GiB    28 MiB
csi-vol-19cb6679-6988-4171-9174-6b225812fd6c                                                      30 GiB   4.6 GiB
csi-vol-19f11b26-f404-11ed-87ee-0a58af011c1e                                                     200 GiB   472 MiB
csi-vol-1a058071-f404-11ed-87ee-0a58af011c1e                                                       8 GiB   3.2 GiB
csi-vol-1a077e06-f404-11ed-87ee-0a58af011c1e                                                      20 GiB   4.4 GiB
csi-vol-1a415721-088b-414f-b2c7-542394678b9b                                                      30 GiB   4.7 GiB
csi-vol-1b162c84-0aff-49f8-8941-fed910742685                                                      10 GiB   6.0 GiB
csi-vol-1b2ffb3a-b147-49ce-b19b-c09dd6ba3b88                                                       1 GiB    28 MiB
csi-vol-1b32c090-a10a-44f2-8308-5b61f2ea130e                                                       1 GiB  1000 MiB
csi-vol-1b795a12-da66-11ed-bdf3-0a58af021a26                                                       1 GiB   368 MiB
csi-vol-1c1fc988-361f-11ee-ad5c-0a58af02020d                                                       1 GiB   104 MiB
csi-vol-1dd68454-bb38-47f4-bd61-8d8e891bc225                                                       1 GiB    28 MiB
csi-vol-1f18a8bf-5b18-11ee-8441-0a58af020216                                                      10 GiB   520 MiB
csi-vol-1f7f597f-f3f9-41a9-9640-d48a792809b7                                                      50 GiB   2.2 GiB
csi-vol-20ee9906-5d01-4d7b-ba3a-566a73366305                                                       3 GiB   1.8 GiB
csi-vol-20f55dba-0622-4266-b6ae-98bfe1bea006                                                       1 GiB   256 MiB
csi-vol-212ba895-c9e1-4028-814a-0cf880b352fa                                                       1 GiB   108 MiB
csi-vol-21b29207-7104-4ae4-b933-c6f0dc7e1f7a                                                      10 GiB   116 MiB
csi-vol-220463ae-c8d4-495f-a485-e96ae386b5b2                                                       1 GiB       0 B
csi-vol-224b74bb-5962-4da8-ad63-404fb6e2c23f                                                       5 GiB   100 MiB
csi-vol-22ae4eee-48cb-4f4e-95b5-df02f35b4585                                                       2 GiB   200 MiB
csi-vol-23244f93-e910-4a29-89bb-2e3a524a4147                                                       2 GiB    36 MiB
csi-vol-2339346b-6d02-4c05-9113-bcd30f98c641                                                       2 GiB   588 MiB
csi-vol-2391a035-f81c-4a0f-a05d-b5dd406c8ad5                                                      50 GiB   540 MiB
csi-vol-23a92434-315e-11ee-ad5c-0a58af02020d                                                       1 GiB    28 MiB
csi-vol-23bd945b-b48f-4e12-83e0-bf22ba91e8f8                                                     150 GiB   3.9 GiB
csi-vol-23e5b4df-0faf-4453-b670-af3daded2681                                                      50 GiB    11 GiB
csi-vol-241150e2-4184-4ecd-90ad-6eaf25f616c4                                                      10 GiB   132 MiB
csi-vol-2448d1f3-f483-11ed-87ee-0a58af011c1e                                                      20 GiB   480 MiB
csi-vol-2503c40c-79a8-4bcf-b1af-874720feeaf1                                                      10 GiB   4.2 GiB
csi-vol-250dced5-fe04-41c7-b031-6df39858a988                                                       1 GiB    28 MiB
csi-vol-25771e58-18d1-45ed-80e6-9a488751ad34                                                      10 GiB   216 MiB
csi-vol-25a6c7fc-49a0-46f1-90cf-9d5fc3f0de37                                                     500 MiB    56 MiB
csi-vol-25c979ae-04bc-49bd-911d-780c126f9d2c                                                     512 MiB    84 MiB
csi-vol-25fd5b28-da68-11ed-bdf3-0a58af021a26                                                       1 GiB   308 MiB
csi-vol-262d67e1-6ed3-400d-8a99-f42bfd3b4958                                                     954 MiB   272 MiB
csi-vol-263d8398-8e04-4c7b-8d50-10a816cc0582                                                       1 GiB    28 MiB
csi-vol-2655dd45-9626-4518-96c0-268789e5b7ee                                                      10 GiB   8.4 GiB
csi-vol-27de67ad-433a-4016-af07-b5194752d13b                                                      10 GiB   476 MiB
csi-vol-28799b8c-fc36-4a6e-a003-3f809964d6d1                                                       2 GiB    32 MiB
csi-vol-28e2e45a-a2c1-4248-aa86-eaf8877f2d19                                                     100 GiB    69 GiB
csi-vol-292c8577-bc7f-48d6-b513-48a6b4372bca                                                       1 GiB    72 MiB
csi-vol-296e00b0-25fa-47f9-ad45-c6179fab9694                                                       4 GiB   172 MiB
csi-vol-2995313d-fabe-11ed-9b7a-0a58af0327c7                                                       5 GiB   168 MiB
csi-vol-29a16517-0964-11ee-908c-0a58af0023ce                                                       5 GiB   436 MiB
csi-vol-29a26c04-0964-11ee-908c-0a58af0023ce                                                       1 GiB    28 MiB
csi-vol-2ab13252-6605-4c10-aa53-3304bc389523                                                       8 GiB   336 MiB
csi-vol-2b5c105a-e08a-49f2-aa90-0bf4ffa4a42f                                                      10 GiB   204 MiB
csi-vol-2c1cd9cc-bfc9-42e3-a1ff-87f0c1083209                                                       1 GiB    28 MiB
csi-vol-2c21f55e-2c4b-4bce-8e14-ffc61493d24b                                                       2 GiB   248 MiB
csi-vol-2c25647b-9921-45f3-a079-d14960d0efd4                                                       2 GiB   128 MiB
csi-vol-2c327a78-371c-46e5-a36c-f8dfcf9e6f49                                                       1 GiB    28 MiB
csi-vol-2c69fbf7-86a4-47f2-9ef9-3aa8fe1abd9c                                                       1 GiB       0 B
csi-vol-2c8e5aea-b9c8-403a-8ea6-a8ce71e78ab6                                                       1 GiB    36 MiB
